Title	Subtitle	Author(s)	ISBN Code	Published Date	Length	Language	Memo	Desciption	Image(URL)
Gauderiadas	a sabedoria gaúcha em frases definitivas	Luís Augusto Fischer	9788574211091	2004	253	pt-BR			http://books.google.com/books/content?id=J7UuAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788526702820						
Etiqueta na prática		Celia Ribeiro	9788525410955	2001	209	pt-BR		"Etiqueta na Prática' é uma ferramenta para o dia-a-dia. Este livro é um guia moderno. prático e útil das regras e das formalidades que regem o convívio social. Um manual destinado a resolver inúmeras situações que o cotidiano lhe propõe. 'Etiqueta na Prática' é uma adaptação das ""boas maneiras"" aos dias que correm. Comunicação verbal. escrita e falada. cumprimentos. cartões de visita. cartões de agradecimento. convites. tratamento. almoços. jantares. coquetéis. casamentos. bailes de debutantes. festas. relações profissionais. vestimenta adequada. viagens. enfim. as ocorrências são detalhadas tendo como princípio oferecer uma informação correta e de fácil consulta."	
Dicionário da Ilha		Fernando Alexandre. Andrea Ramos	9788586971020	1998	123	pt-BR			
Contos fantasticos	o horla & outras histórias	Guy de Maupassant. JOSE THOMAZ BRUM	9788525406392	1997	141	pt-BR		Guy de Maupassant (1850-1893) não foi simplesmente um dos mais brilhantes escritores do seu século. mas o mais completo contista de todos os tempos. Alguns de seus temas presentes nos contos reunidos neste volume são clássicos na literatura fantástica - a reencarnação. a aparição fantasmática. o acontecimento extraordinário. Não se trata de criaturas impossíveis (duendes. gênios ou demônios) em cenários exóticos. mas acontecimentos estranhos que se equilibram nesta tensão que se origina de um espírito incerto - o homem aparece como um ser estranho a si mesmo e o outro como um abismo.	
O primo Basílio		Eça de Queirós	9788525408204	1998	499	pt-BR		Luísa e Jorge formam o típico casal da burguesia lisboeta. Jorge. funcionário público. viaja a trabalho para o interior de Portugal. A monotonia da vida de casada torna-se insuportável para Luísa e ela se envolve com o primo. Basílio. seu primeiro amor. recém-chegado de Paris. Instaurado o triângulo amoroso. surge Juliana. a invejosa e vingativa criada. que. encontrando cartas de Luísa dirigidas a Basílio. passa a chantagear a patroa. ameaçando entregar as provas da traição a Jorge.	
O sentido da vida		Bradley Trevor Greive	9788575420232	2002	139	pt-BR		Este livro. do mesmo autor de 'Um dia daqueles e traduzido por Luis Fernando Verissimo. apresenta divertidas fotos de animais com um texto afiado sobre a questão que sempre fez grandes filósofos e pensadores quebrarem a cabeça - qual o sentido da vida?	
Il libro blu delle coccole		Bradley Trevor Greive	9788804503040	2007	98	it			http://books.google.com/books/content?id=ooi1AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Seleção de cronicas do livro comedias da vida privada		Luís Fernando Veríssimo	9788525405203	1995	118	pt-BR		Este livro. destinado ao público estudantil das escolas e universidades. é uma seleção das crônicas publicadas na obra Comédias da Vida Privada. Nas crônicas de Verissimo estão heróis anônimos. os grandes e os pequenos gestos. a complicada engenharia familiar. o cotidiano das grandes cidades. ambientes onde transitam a maioria dos habitantes deste país. Um universo ao mesmo tempo rico e banal onde Verisssimo inspirou-se para criar as crônicas deste livro.	
			9788598802800						
